Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
1.0	5.221934	-2.039337	8.199543	-0.009031	0.007207	-0.007656	-0.618896	0.270508	-0.226074
2.0	5.246511	-2.046618	8.23311	-0.009429	0.00931	-0.009267	-0.612305	0.266357	-0.226074
3.0	5.215079	-2.073977	8.197325	-0.010663	0.004463	-0.006402	-0.616455	0.26416	-0.230469
4.0	5.226475	-2.061219	8.227114	-0.006839	0.009176	-0.003659	-0.614502	0.270508	-0.226074
5.0	5.200871	-2.054554	8.194046	-0.007686	0.006486	-0.007521	-0.616455	0.263916	-0.219482
6.0	5.240058	-2.060727	8.181085	-0.008745	0.010674	-0.009038	-0.614746	0.272705	-0.226074
7.0	5.212936	-2.07512	8.198399	-0.006054	0.009232	-0.008772	-0.614502	0.266357	-0.228271
8.0	5.213812	-2.053879	8.148474	-0.004709	0.008511	-0.008639	-0.612305	0.270508	-0.228271
9.0	5.26337	-2.067731	8.215535	-0.004024	0.009874	-0.008412	-0.614502	0.268311	-0.226074
10.0	5.217173	-2.041026	8.202153	-0.003625	0.007771	-0.006801	-0.614502	0.270508	-0.223877
11.0	5.216546	-2.04092	8.202578	-0.003339	0.011238	-0.008184	-0.616455	0.266357	-0.223877
12.0	5.248347	-2.047142	8.213071	-0.003101	0.007809	-0.010209	-0.616699	0.268311	-0.22168
13.0	5.208102	-2.04105	8.22666	-0.001857	0.008395	-0.004736	-0.614258	0.26416	-0.223877
14.0	5.239803	-2.047416	8.237183	-0.003602	0.011219	-0.006478	-0.618652	0.266357	-0.228271
15.0	5.194942	-2.054138	8.19791	-0.004709	0.008512	-0.008637	-0.616699	0.268555	-0.232666
16.0	5.225318	-2.027288	8.234249	-0.006579	0.009194	-0.00536	-0.612061	0.26416	-0.223877
17.0	5.199687	-2.075174	8.225547	-0.007001	0.00785	-0.007291	-0.612061	0.26416	-0.22168
18.0	5.239084	-2.02681	8.188139	-0.009579	0.003721	-0.004565	-0.618896	0.268311	-0.223877
19.0	5.206261	-2.075354	8.20258	-0.0074	0.009954	-0.0089	-0.616699	0.270508	-0.223877
20.0	5.251353	-2.047492	8.192349	-0.005918	0.00711	-0.005453	-0.614258	0.26416	-0.226074
21.0	5.230259	-2.02806	8.21218	-0.008084	0.008591	-0.009126	-0.616943	0.272705	-0.230469
22.0	5.24298	-2.048348	8.216197	-0.003889	0.007753	-0.005092	-0.621094	0.268311	-0.223877
23.0	5.236544	-2.027679	8.189548	-0.004972	0.008494	-0.006928	-0.618652	0.266113	-0.223877
24.0	5.24194	-2.04859	8.216801	-0.009031	0.007208	-0.007649	-0.612305	0.266113	-0.219482
25.0	5.209068	-2.042496	8.206937	-0.007265	0.007831	-0.005584	-0.616455	0.266357	-0.230469
26.0	5.227635	-2.028974	8.213625	-0.006318	0.009215	-0.00706	-0.614502	0.268311	-0.217529
27.0	5.24031	-2.049304	8.217663	-0.009167	0.009332	-0.01096	-0.614258	0.26416	-0.226074
28.0	5.219195	-2.030021	8.237459	-0.008212	0.006448	-0.004107	-0.614502	0.268311	-0.223877
29.0	5.233459	-2.029347	8.191107	-0.010378	0.007929	-0.007779	-0.618896	0.270752	-0.232666
