Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
1.0	6.21072	0.364757	8.111605	-0.032317	0.041324	0.018185	-0.682373	0.065674	-0.305176
2.0	6.246564	0.338306	8.051794	-0.049657	0.047609	0.023777	-0.678223	0.067871	-0.309814
3.0	6.231384	0.349955	8.042067	-0.045551	0.053912	0.035358	-0.677979	0.063477	-0.300537
4.0	6.247601	0.355458	8.045067	-0.073488	0.063391	0.043852	-0.682373	0.065674	-0.309814
5.0	6.17861	0.218165	8.071822	-0.102837	0.056734	0.048439	-0.682617	0.067871	-0.305176
6.0	6.173427	0.114011	8.041357	-0.066872	0.057672	0.036523	-0.682617	0.067871	-0.305176
7.0	6.174814	0.196218	8.112551	-0.043121	0.047341	0.032178	-0.684814	0.067871	-0.302979
8.0	6.18211	0.215596	8.047427	-0.041576	0.04653	0.025061	-0.674072	0.072266	-0.298584
9.0	6.1436	0.13125	8.111992	-0.065808	0.032552	0.010502	-0.682617	0.067871	-0.305176
10.0	6.134167	-0.051648	8.065336	-0.061637	0.012633	-0.011766	-0.682617	0.070068	-0.307617
11.0	6.19978	0.027721	8.070192	0.014135	-0.005022	-0.037548	-0.682861	0.072266	-0.30542
12.0	6.189941	0.144646	8.09102	0.035912	-0.012064	-0.055894	-0.68042	0.065674	-0.307373
13.0	6.162464	0.101911	8.049923	0.007857	-0.030168	-0.069511	-0.68042	0.067871	-0.300781
14.0	6.22269	0.248285	8.046464	0.070501	-0.027171	-0.071767	-0.685059	0.072266	-0.30542
15.0	6.188926	0.647622	8.136219	0.097652	-0.008102	-0.039283	-0.68042	0.067871	-0.302979
16.0	6.238381	0.523278	8.105986	-0.045913	-0.008196	-0.012673	-0.682373	0.063477	-0.305176
17.0	6.247346	0.223595	8.070418	-0.058811	-0.003167	0.002089	-0.678223	0.067871	-0.300781
18.0	6.242604	0.227298	8.03669	0.013444	-0.000661	0.010292	-0.678223	0.065674	-0.307373
19.0	6.086872	0.250023	8.063057	0.017127	-0.010612	0.023356	-0.68042	0.065674	-0.305176
20.0	6.285806	0.254779	8.033786	0.052219	-0.016656	0.009853	-0.682617	0.070068	-0.307617
21.0	6.268573	0.154605	8.141159	0.016026	-0.027053	0.013142	-0.682373	0.065674	-0.302979
22.0	6.193181	0.003462	8.141281	-0.000723	-0.054948	-0.009677	-0.682617	0.067871	-0.309814
23.0	6.221216	-0.12646	8.075168	0.07761	-0.065036	-0.052737	-0.68457	0.065674	-0.29834
24.0	6.172161	-0.068858	8.086302	0.131356	-0.096117	-0.086027	-0.682617	0.070068	-0.300781
25.0	6.21098	-0.096119	8.084202	0.164561	-0.152545	-0.137075	-0.680176	0.063477	-0.29834
26.0	6.273728	-0.193577	8.098287	0.196345	-0.205745	-0.190194	-0.684326	0.059082	-0.300537
27.0	6.367082	-0.27635	8.142109	0.246789	-0.253603	-0.258057	-0.684326	0.059082	-0.295898
28.0	6.425545	-0.012683	8.156417	0.344644	-0.280648	-0.312369	-0.690674	0.054688	-0.295898
29.0	6.500782	0.234712	8.214787	0.309712	-0.283227	-0.356584	-0.690674	0.054688	-0.295898
30.0	6.668633	0.243382	8.290026	0.224593	-0.272551	-0.396663	-0.683838	0.04834	-0.293457
31.0	6.725001	0.315272	8.181284	0.243434	-0.249427	-0.4282	-0.686035	0.04834	-0.29126
32.0	6.840238	0.791811	8.070207	0.411689	-0.179289	-0.42987	-0.685791	0.043945	-0.288818
33.0	6.838501	1.566217	8.286023	0.507622	-0.058768	-0.355278	-0.687744	0.037354	-0.288574
34.0	6.430798	1.900794	8.458094	0.272806	0.004257	-0.222982	-0.687744	0.037354	-0.291016
35.0	5.848984	1.473149	8.566247	-0.200037	-0.033418	-0.066857	-0.683594	0.041748	-0.293213
36.0	5.659498	0.767057	8.202861	-0.350943	-0.090273	0.085678	-0.685547	0.037354	-0.291016
37.0	5.622541	-0.883946	8.644705	-0.42363	-0.137427	0.190865	-0.687988	0.043945	-0.291016
38.0	4.677839	-2.726765	9.169033	-0.38892	-0.101146	0.451142	-0.692383	0.046143	-0.295654
39.0	4.609795	-2.058236	8.399651	1.080843	0.026438	0.811559	-0.683838	0.046143	-0.29126
40.0	4.301522	0.422659	10.364138	1.533041	0.110358	1.066992	-0.684082	0.052734	-0.298096
41.0	4.181847	0.630789	10.792085	0.346636	0.053629	1.210213	-0.68457	0.063477	-0.291504
42.0	5.098751	0.326075	10.604666	0.172787	0.139849	1.293368	-0.684814	0.070068	-0.302979
43.0	5.219382	1.336378	10.743782	0.564125	0.416577	1.40882	-0.680908	0.07666	-0.296387
44.0	4.83657	1.901711	10.314915	0.029399	0.564607	1.341077	-0.678955	0.083252	-0.305664
45.0	4.054256	1.478828	8.648642	-0.097541	0.595179	1.129672	-0.679199	0.089844	-0.314697
46.0	3.622155	1.843493	7.653245	0.296994	0.610109	0.862615	-0.679443	0.096436	-0.31958
47.0	3.699005	2.647252	7.591641	0.626406	0.497411	0.566885	-0.675049	0.094238	-0.319336
48.0	4.591418	2.814132	8.407176	0.215764	0.316168	0.248774	-0.670654	0.094238	-0.330811
49.0	5.838812	1.824701	7.492999	-0.510409	0.140164	-0.136175	-0.67749	0.103027	-0.335449
50.0	6.92158	1.380138	6.873579	0.048531	0.147556	-0.433634	-0.674805	0.087646	-0.339844
51.0	6.074775	1.842596	6.260824	0.685243	0.209727	-0.696468	-0.674561	0.083252	-0.342041
52.0	5.534326	2.154048	6.138037	0.509119	0.088021	-0.916496	-0.678467	0.074707	-0.346436
53.0	5.367986	1.45066	5.485236	0.089196	-0.187123	-1.112621	-0.682617	0.070313	-0.341797
54.0	6.19712	0.656396	5.181403	0.137102	-0.359786	-1.360421	-0.679932	0.054932	-0.350586
55.0	6.255714	0.925053	4.706453	0.937061	-0.406624	-1.671221	-0.685791	0.039551	-0.352539
56.0	5.400474	5.40722	2.403853	2.695465	-0.527763	-1.809026	-0.691162	0.017822	-0.343018
57.0	15.651824	4.894951	9.815466	2.849871	-1.190667	-0.824789	-0.693115	0.013428	-0.33374
58.0	13.235068	-2.013669	10.496738	-7.906692	-0.855934	-0.499827	-0.701172	0.043945	-0.334473
59.0	7.807313	-16.355761	-1.624038	-8.524049	-0.898373	-0.165276	-0.701416	0.05249	-0.330078
60.0	10.014756	-7.592271	3.438476	6.619268	0.144724	-0.171331	-0.707031	0.028564	-0.331787
61.0	5.570173	5.831766	9.569157	9.486718	0.731613	-0.074968	-0.701172	-0.001953	-0.335693
62.0	6.079717	12.160631	11.751324	2.738771	0.101727	0.026935	-0.703613	0.002441	-0.335938
63.0	5.620759	7.333057	9.774083	-4.230017	-0.709774	0.238749	-0.70874	0.017578	-0.329346
64.0	6.805217	1.165019	8.57052	-6.86539	-0.803011	0.255424	-0.705811	0.050293	-0.332275
65.0	7.280352	-6.699024	4.294908	-3.654912	-0.455625	0.154298	-0.709961	0.048096	-0.325439
66.0	7.698845	-3.475223	5.848498	2.842043	0.060242	0.176068	-0.709717	0.039551	-0.332031
67.0	7.331513	2.391731	8.85779	3.668346	0.279037	0.168195	-0.707031	0.028564	-0.327148
68.0	6.622747	3.872296	9.453185	1.191849	0.132592	0.084754	-0.709229	0.028564	-0.324951
69.0	6.656805	2.728118	8.913519	-1.55302	-0.180198	0.05304	-0.707275	0.037354	-0.327393
70.0	6.929587	0.447821	7.706801	-2.473394	-0.221834	0.014122	-0.711914	0.043701	-0.322998
71.0	6.824601	-1.959071	6.411947	-0.847058	-0.05058	0.022834	-0.709961	0.043701	-0.327637
72.0	6.767938	-0.324435	7.407538	1.094059	0.098762	0.009568	-0.711914	0.039551	-0.325195
73.0	6.625417	1.555763	8.354416	0.968753	0.088766	-0.01491	-0.711914	0.041504	-0.320557
74.0	6.558771	1.634257	8.27798	-0.088519	0.000583	-0.044038	-0.709473	0.037354	-0.32959
75.0	6.621411	0.525651	7.618169	-0.487474	-0.021721	-0.064459	-0.70752	0.041748	-0.325195
76.0	6.609409	0.16128	7.334153	0.109304	0.044019	-0.046821	-0.705322	0.039551	-0.327393
77.0	6.476651	1.198599	7.792505	0.45958	0.097289	-0.012924	-0.709717	0.039551	-0.322998
78.0	6.43864	1.539316	8.029625	0.069535	0.079348	0.016436	-0.709717	0.041504	-0.320557
79.0	6.488309	0.888369	7.743301	-0.242902	0.060887	0.027582	-0.705566	0.043945	-0.329834
80.0	6.467035	0.542316	7.538927	-0.037913	0.094947	0.036849	-0.705322	0.039551	-0.334229
81.0	6.495417	0.888126	7.753795	0.097635	0.112319	0.043041	-0.709717	0.039551	-0.327393
82.0	6.449042	0.999959	7.797676	-0.045744	0.109938	0.042951	-0.709473	0.037354	-0.332031
83.0	6.352417	1.031059	7.755109	-0.079006	0.116717	0.069324	-0.703369	0.043945	-0.329834
84.0	6.388276	1.202329	7.89963	-0.041861	0.131247	0.124192	-0.70752	0.041748	-0.332031
85.0	6.441539	1.135626	7.928033	-0.173664	0.123994	0.164239	-0.709961	0.043945	-0.332031
86.0	6.365267	0.692363	7.849391	-0.347203	0.102513	0.166183	-0.703613	0.04834	-0.332275
87.0	6.433149	0.336169	7.753737	-0.287287	0.101151	0.142708	-0.705811	0.050293	-0.329834
88.0	6.344445	0.461385	7.881028	-0.123121	0.093251	0.119017	-0.710205	0.050293	-0.332275
89.0	6.36011	0.657823	7.997889	-0.129907	0.077708	0.108893	-0.706055	0.054688	-0.334473
90.0	6.319946	0.600711	7.986704	-0.179844	0.054765	0.100969	-0.705811	0.05249	-0.339111
91.0	6.34528	0.439074	7.967563	-0.167448	0.028021	0.08315	-0.712646	0.056885	-0.339111
92.0	6.440119	0.307299	7.920618	-0.122859	0.0083	0.051048	-0.708252	0.059082	-0.334717
93.0	6.50454	0.281922	7.890573	-0.059543	-0.000342	0.019291	-0.710449	0.056885	-0.332275
94.0	6.475948	0.324332	7.88364	-0.025606	-0.0065	-0.017414	-0.710449	0.054688	-0.332275
95.0	6.442134	0.375931	7.842374	0.004617	-0.015378	-0.050754	-0.708008	0.05249	-0.334473
96.0	6.370656	0.447203	7.809093	0.01746	-0.021416	-0.071573	-0.701416	0.052734	-0.339111
97.0	6.346954	0.55034	7.859009	0.044806	-0.041084	-0.088071	-0.70166	0.054688	-0.334473
98.0	6.412608	0.702606	7.934244	0.057865	-0.048422	-0.08928	-0.710449	0.056885	-0.327881
99.0	6.433386	0.674079	7.87017	0.015595	-0.048801	-0.085637	-0.703613	0.05249	-0.330078
100.0	6.438926	0.626845	7.842154	0.025037	-0.039153	-0.082384	-0.712646	0.054688	-0.330078
101.0	6.467616	0.642811	7.871579	0.032865	-0.031204	-0.076674	-0.708008	0.050293	-0.332275
102.0	6.434391	0.611075	7.852813	0.000934	-0.037701	-0.080419	-0.710205	0.05249	-0.332275
103.0	6.454222	0.588511	7.843723	0.025264	-0.034111	-0.087136	-0.708008	0.05249	-0.332275
104.0	6.476984	0.698273	7.815411	0.053165	-0.025935	-0.088667	-0.705811	0.050293	-0.334473
105.0	6.489959	0.78641	7.857025	0.030333	-0.016165	-0.075273	-0.705811	0.048096	-0.327637
106.0	6.481459	0.754444	7.817653	0.001134	-0.00657	-0.062361	-0.705811	0.04834	-0.334473
107.0	6.478192	0.716268	7.812781	0.002472	0.003101	-0.048605	-0.709961	0.048096	-0.329834
108.0	6.415644	0.776639	7.848702	0.008014	0.010581	-0.035784	-0.705811	0.048096	-0.325439
109.0	6.429133	0.803432	7.867827	-0.018186	0.014233	-0.022109	-0.707764	0.046143	-0.332031
110.0	6.439677	0.689641	7.852714	-0.040909	0.012287	-0.01783	-0.705811	0.04834	-0.332275
111.0	6.45605	0.651169	7.793258	-0.022991	0.018966	-0.014178	-0.708008	0.050293	-0.334473
112.0	6.460282	0.734514	7.804207	-0.010166	0.020704	-0.010939	-0.708008	0.050293	-0.334473
113.0	6.476132	0.712306	7.853046	-0.040144	0.021273	-0.007934	-0.705811	0.05249	-0.332275
114.0	6.450657	0.654764	7.852	-0.034411	0.028248	-0.00135	-0.710205	0.05249	-0.332275
115.0	6.457035	0.681893	7.838821	-0.031044	0.034371	-0.001654	-0.707764	0.048096	-0.327637
116.0	6.427817	0.582709	7.833536	-0.038098	0.036385	-0.009157	-0.709961	0.045898	-0.329834
117.0	6.451763	0.493711	7.837693	-0.032366	0.025725	-0.027127	-0.707764	0.048096	-0.329834
118.0	6.484798	0.533851	7.855879	0.025319	0.025129	-0.037692	-0.703857	0.054688	-0.334473
119.0	6.461768	0.621957	7.889168	0.025526	0.025653	-0.05565	-0.708008	0.050293	-0.329834
120.0	6.448052	0.636063	7.822983	0.021195	0.020868	-0.05844	-0.705811	0.04834	-0.33667
121.0	6.354215	0.744498	7.852996	0.036414	0.030098	-0.058586	-0.703369	0.046143	-0.332031
122.0	6.37217	0.770906	7.906531	0.010441	0.019086	-0.050847	-0.705811	0.04834	-0.33667
123.0	6.397648	0.678749	7.85553	-0.009353	0.009806	-0.048128	-0.709961	0.048096	-0.332275
124.0	6.417123	0.694843	7.854285	0.00892	0.00888	-0.046624	-0.707764	0.043945	-0.332031
125.0	6.456822	0.732918	7.90513	0.015365	0.010438	-0.043839	-0.703613	0.050537	-0.332275
126.0	6.408836	0.714054	7.875729	-0.004364	0.012356	-0.038274	-0.707764	0.04834	-0.339111
127.0	6.431564	0.675352	7.84956	0.005938	0.009529	-0.034791	-0.703613	0.04834	-0.33667
128.0	6.421265	0.73688	7.841518	0.014341	0.015009	-0.036088	-0.701416	0.04834	-0.334473
129.0	6.41644	0.793992	7.867442	0.008317	0.015992	-0.026476	-0.707764	0.043945	-0.329834
130.0	6.412373	0.753236	7.863666	-0.016896	0.014982	-0.020598	-0.712402	0.050293	-0.33667
131.0	6.452653	0.683424	7.831381	-0.013903	0.018905	-0.019268	-0.707764	0.048096	-0.332275
132.0	6.43573	0.754783	7.844185	0.002795	0.021904	-0.01388	-0.705566	0.046143	-0.329834
133.0	6.407213	0.753964	7.867801	-0.019908	0.025486	-0.008232	-0.707764	0.04834	-0.33667
134.0	6.384548	0.739517	7.871498	-0.025371	0.028161	-0.006479	-0.709961	0.045898	-0.334473
135.0	6.426705	0.709478	7.844909	-0.030083	0.029997	0.004608	-0.707764	0.045898	-0.329834
136.0	6.413188	0.635285	7.857419	-0.035429	0.025199	-0.003601	-0.710205	0.050293	-0.332275
137.0	6.431728	0.646722	7.857376	-0.015142	0.023983	-0.005286	-0.705811	0.04834	-0.332275
138.0	6.40953	0.632776	7.860606	-0.023119	0.017473	-0.016456	-0.705566	0.046143	-0.334473
139.0	6.434654	0.633903	7.839809	-0.002545	0.017113	-0.022067	-0.703613	0.050537	-0.332275
140.0	6.376455	0.687575	7.90997	-0.003098	0.016427	-0.025918	-0.707764	0.043945	-0.332031
141.0	6.422392	0.702642	7.887085	-0.013652	0.00854	-0.026037	-0.707764	0.048096	-0.329834
