Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	9.766452	-0.365126	1.4859	-0.000911	-0.00226	-0.002041	-0.536865	0.22168	-0.582031
1.0	9.794871	-0.347656	1.49514	-0.001298	-0.007146	-0.004394	-0.534668	0.223877	-0.575195
2.0	9.795014	-0.347455	1.494252	-0.007603	-0.010669	-0.001054	-0.536621	0.219482	-0.577148
3.0	9.826389	-0.361111	1.487639	-0.010878	-0.00987	-0.001792	-0.534424	0.219482	-0.567871
4.0	9.795306	-0.34739	1.492348	-0.018407	-0.006774	-0.003977	-0.536865	0.22168	-0.570313
5.0	9.825327	-0.311412	1.463011	-0.017108	-0.017153	0.000213	-0.534668	0.22168	-0.572754
6.0	9.816562	-0.334047	1.465722	-0.022744	-0.013297	0.000778	-0.536865	0.22168	-0.577393
7.0	9.812393	-0.322605	1.517456	-0.024579	-0.012868	0.001769	-0.534424	0.219482	-0.570313
8.0	9.824397	-0.331785	1.49678	-0.029757	-0.007883	0.003357	-0.539307	0.228271	-0.575195
9.0	9.834852	-0.360158	1.514245	-0.036245	-0.005096	0.005623	-0.534668	0.223877	-0.570557
10.0	9.825896	-0.383566	1.51802	-0.040036	-0.001677	0.005198	-0.534668	0.22168	-0.577393
11.0	9.800483	-0.432513	1.492233	-0.04218	-0.009895	0.002492	-0.534668	0.223877	-0.570557
12.0	9.774083	-0.385825	1.54543	-0.042902	-0.013535	0.006592	-0.539063	0.219482	-0.563232
13.0	9.797958	-0.403946	1.504789	-0.045762	-0.012806	0.003132	-0.534912	0.228271	-0.561279
14.0	9.777326	-0.418828	1.527014	-0.043791	-0.01581	0.00454	-0.537109	0.226074	-0.575195
15.0	9.798326	-0.406109	1.501806	-0.045811	-0.009067	0.004466	-0.539307	0.228271	-0.565918
16.0	9.80744	-0.384942	1.496499	-0.048089	-0.009777	0.004432	-0.539307	0.226074	-0.570557
17.0	9.779179	-0.403202	1.48581	-0.049582	-0.005662	0.004042	-0.537109	0.228271	-0.563721
18.0	9.800054	-0.390405	1.46141	-0.051529	-0.002676	0.00263	-0.541504	0.223877	-0.565918
19.0	9.800058	-0.391423	1.461107	-0.055307	0.000736	0.00221	-0.534424	0.219482	-0.565674
20.0	9.801467	-0.373395	1.423456	-0.055362	0.004478	0.003551	-0.539307	0.228271	-0.568359
21.0	9.813239	-0.382978	1.403947	-0.056654	0.002265	0.004217	-0.539307	0.228271	-0.565918
22.0	9.841544	-0.366849	1.413872	-0.050817	0.00468	-0.000137	-0.541504	0.228271	-0.572998
23.0	9.820643	-0.381627	1.437895	-0.051202	0.004723	0.002579	-0.539307	0.226074	-0.565918
24.0	9.851738	-0.396234	1.43263	-0.052691	0.008836	0.002196	-0.54126	0.219482	-0.567871
25.0	9.823223	-0.414215	1.423618	-0.049087	0.011732	0.001559	-0.532471	0.226074	-0.563477
26.0	9.811203	-0.406696	1.444253	-0.046791	0.012428	0.00159	-0.534668	0.226074	-0.568115
27.0	9.811002	-0.407637	1.445355	-0.048154	0.013966	0.003604	-0.539551	0.232666	-0.561523
28.0	9.81079	-0.408548	1.446533	-0.042203	0.013822	0.001654	-0.537109	0.226074	-0.570557
29.0	9.829935	-0.41444	1.461703	-0.03723	0.015178	-0.000996	-0.532471	0.226074	-0.561279
30.0	9.810318	-0.409696	1.449409	-0.034555	0.020753	0.001419	-0.534912	0.228271	-0.572998
31.0	9.789168	-0.424396	1.474868	-0.035853	0.018543	0.002081	-0.539307	0.228271	-0.568359
32.0	9.769527	-0.419798	1.462695	-0.031283	0.019951	0.002154	-0.539307	0.228271	-0.572998
33.0	9.764633	-0.453967	1.415119	-0.032637	0.016569	-0.000933	-0.534912	0.228271	-0.570557
34.0	9.769024	-0.420651	1.465809	-0.030804	0.016146	-0.001925	-0.536865	0.22168	-0.570313
35.0	9.768749	-0.421013	1.467535	-0.028131	0.021721	0.000497	-0.534668	0.226074	-0.568115
36.0	9.789322	-0.407461	1.4458	-0.023897	0.01943	0.001936	-0.537109	0.230469	-0.566162
37.0	9.836676	-0.396199	1.471738	-0.024532	0.024624	-0.000129	-0.532715	0.230469	-0.570801
38.0	9.83499	-0.346435	1.4523	-0.021393	0.026407	-0.001781	-0.534668	0.223877	-0.570557
39.0	9.797253	-0.386042	1.448869	-0.028292	0.028023	-0.000546	-0.534912	0.232666	-0.568359
40.0	9.814899	-0.341719	1.443406	-0.032324	0.023981	-0.000958	-0.537109	0.230469	-0.570801
41.0	9.774366	-0.350802	1.455045	-0.03128	0.018735	-0.001618	-0.530273	0.228271	-0.565918
42.0	9.814324	-0.342331	1.447164	-0.028995	0.019439	-0.001578	-0.532715	0.232666	-0.568359
43.0	9.776729	-0.381705	1.442803	-0.021687	0.017776	-0.005532	-0.532715	0.230469	-0.568359
44.0	9.767456	-0.404055	1.448493	-0.015651	0.019984	3.2e-05	-0.532715	0.230469	-0.570801
45.0	9.746257	-0.418287	1.473864	-0.019803	0.018522	-0.002773	-0.534668	0.226074	-0.568115
46.0	9.7789	-0.412372	1.432007	-0.012721	0.010587	-0.002975	-0.532715	0.232666	-0.568359
47.0	9.748798	-0.448902	1.460531	-0.015917	0.012536	3e-05	-0.535156	0.237061	-0.566406
48.0	9.757658	-0.426568	1.457641	-0.01317	0.009462	-0.004007	-0.528076	0.230713	-0.575439
49.0	9.759195	-0.407049	1.420774	-0.014363	0.004679	-0.000961	-0.534912	0.230469	-0.568359
50.0	9.766499	-0.404172	1.454904	-0.014476	0.007255	-0.00335	-0.537109	0.230469	-0.570801
51.0	9.806647	-0.395127	1.44601	-0.011794	0.007923	-0.006025	-0.539551	0.234863	-0.568604
52.0	9.836195	-0.427744	1.478257	-0.001988	0.001827	-0.005152	-0.534668	0.226074	-0.568115
53.0	9.788572	-0.438903	1.45443	-0.005235	0.002612	-0.005897	-0.537354	0.237061	-0.568604
54.0	9.792974	-0.404938	1.504287	0.001081	0.007359	-0.005434	-0.534668	0.226074	-0.577393
55.0	9.804836	-0.412661	1.485219	0.00302	0.004369	-0.004032	-0.534912	0.230469	-0.566162
56.0	9.776496	-0.42927	1.475472	0.001712	0.002164	-0.003376	-0.532715	0.232666	-0.575439
57.0	9.776473	-0.4289	1.47573	0.00399	0.002874	-0.003331	-0.541504	0.228271	-0.565918
58.0	9.776456	-0.428318	1.476011	0.006219	0.00242	-0.007037	-0.534912	0.228271	-0.572998
59.0	9.809319	-0.421603	1.433133	0.008497	0.00313	-0.006993	-0.534912	0.232666	-0.563721
